google.com
facebook.com
amazonaws.com
a-msedge.net
microsoft.com
apple.com
googleapis.com
youtube.com
akamaiedge.net
akamai.net
azure.com
twitter.com
instagram.com
cloudflare.com
gstatic.com
googlevideo.com
office.com
live.com
linkedin.com
tiktokcdn.com
doubleclick.net
akadns.net
googletagmanager.com
windowsupdate.com
apple-dns.net
amazon.com
fbcdn.net
microsoftonline.com
trafficmanager.net
l-msedge.net
root-servers.net
icloud.com
wikipedia.org
fastly.net
googleusercontent.com
bing.com
netflix.com
wordpress.org
domaincontrol.com
digicert.com
gtld-servers.net
youtu.be
ui.com
github.com
mail.ru
aaplimg.com
yahoo.com
pinterest.com
t-msedge.net
tiktokv.com
zoom.us
